id,title,price,image,category,stock,description
6,Wireless Mouse,299.99,/images/wireless-mouse.jpg,electronics,100,High quality Wireless Mouse with premium features and warranty.
7,USB-C Hub,549.99,/images/hub.jpg,electronics,100,High quality USB-C Hub with premium features and warranty.
8,Mechanical Keyboard,1299.99,/images/MechanicalKeyboard.jpg,electronics,100,High quality Mechanical Keyboard with premium features and warranty.
9,"Monitor 27""",7999.99,/images/Monitor.jpg,electronics,100,"High quality Monitor 27"" with premium features and warranty."
10,Webcam HD,899.99,/images/WebcamHD.jpg,electronics,100,High quality Webcam HD with premium features and warranty.
11,Desk Lamp LED,449.99,/images/DeskLampLED.jpg,home,100,High quality Desk Lamp LED with premium features and warranty.
12,Office Chair,3999.99,/images/OfficeChair.jpg,home,100,High quality Office Chair with premium features and warranty.
13,Standing Desk,8999.99,/images/StandingDesk.jpg,home,100,High quality Standing Desk with premium features and warranty.
14,Coffee Maker,1899.99,/images/CoffeeMaker.jpeg,home,100,High quality Coffee Maker with premium features and warranty.
15,Laptop Pro X1,15999.99,/images/laptop.png,electronics,100,High quality Laptop Pro X1 with premium features and warranty.
16,Wireless Mouse,299.99,/images/wireless-mouse.jpg,electronics,100,High quality Wireless Mouse with premium features and warranty.
17,USB-C Hub,549.99,/images/hub.jpg,electronics,100,High quality USB-C Hub with premium features and warranty.
18,Bluetooth Speaker,799.99,/images/BluetoothSpeaker.jpg,electronics,100,High quality Bluetooth Speaker with premium features and warranty.
19,Mechanical Keyboard,1299.99,/images/MechanicalKeyboard.jpg,electronics,100,High quality Mechanical Keyboard with premium features and warranty.
20,Gaming Headset,1499.99,/images/GamingHeadset.jpg,electronics,100,High quality Gaming Headset with premium features and warranty.
21,"Monitor 27""",7999.99,/images/Monitor.jpg,electronics,100,"High quality Monitor 27"" with premium features and warranty."
22,"Monitor 27""",7999.99,/images/Monitor.jpg,electronics,100,"High quality Monitor 27"" with premium features and warranty."
23,Smart Watch,3499.99,/images/SmartWatch.jpg,electronics,100,High quality Smart Watch with premium features and warranty.
24,Webcam HD,899.99,/images/WebcamHD.jpg,electronics,100,High quality Webcam HD with premium features and warranty.
25,Desk Lamp LED,449.99,/images/DeskLampLED.jpg,home,100,High quality Desk Lamp LED with premium features and warranty.
26,Office Chair,3999.99,/images/OfficeChair.jpg,home,100,High quality Office Chair with premium features and warranty.
27,Standing Desk,8999.99,/images/StandingDesk.jpg,home,100,High quality Standing Desk with premium features and warranty.
28,Coffee Maker,1899.99,/images/CoffeeMaker.jpeg,home,100,High quality Coffee Maker with premium features and warranty.
29,Bluetooth Speaker,799.99,/images/BluetoothSpeaker.jpg,electronics,100,High quality Bluetooth Speaker with premium features and warranty.
30,Gaming Headset,1499.99,/images/GamingHeadset.jpg,electronics,100,High quality Gaming Headset with premium features and warranty.
31,Smart Watch,3499.99,/images/SmartWatch.jpg,electronics,100,High quality Smart Watch with premium features and warranty.
32,Portable SSD 1TB,1999.99,/images/PortableSSD1TB.jpg,electronics,100,High quality Portable SSD 1TB with premium features and warranty.
33,Robot Vacuum,6999.99,/images/RobotVacuum.jpg,home,100,High quality Robot Vacuum with premium features and warranty.
34,Air Purifier,2799.99,/images/AirPurifier.jpg,home,100,High quality Air Purifier with premium features and warranty.
35,Bookshelf,1299.99,/images/Bookshelf.jpeg,home,100,High quality Bookshelf with premium features and warranty.
36,Smart Lock,2499.99,/images/SmartLock.jpg,home,100,High quality Smart Lock with premium features and warranty.
37,Power Bank 20000mAh,899.99,/images/PowerBank20000mAh.jpg,electronics,100,High quality Power Bank 20000mAh with premium features and warranty.
38,Digital Photo Frame,1199.99,/images/DigitalPhotoFrame.jpeg,home,100,High quality Digital Photo Frame with premium features and warranty.
